time_period_start,time_period_end,price_high,price_low,price_close,price_open,trades_count,volume_traded,time_open,time_close
2018-05-03T00:00:00.0000000Z,2018-05-04T00:00:00.0000000Z,9799.99,9165.19,9732.43,9220.0,42231,11670.799578596,2018-05-03T00:00:01.0000000Z,2018-05-03T23:59:53.0000000Z
2018-05-04T00:00:00.0000000Z,2018-05-05T00:00:00.0000000Z,9784.73,9527.38,9696.57,9737.0,28162,7326.052071074,2018-05-04T00:00:01.0000000Z,2018-05-04T23:59:58.0000000Z
2018-05-05T00:00:00.0000000Z,2018-05-06T00:00:00.0000000Z,9948.98,9670.68,9823.28,9689.0,29211,7403.105023497,2018-05-05T00:00:00.0000000Z,2018-05-05T23:59:58.0000000Z
2018-05-06T00:00:00.0000000Z,2018-05-07T00:00:00.0000000Z,9918.41,9375.0,9623.54,9827.04,30264,8155.576856582,2018-05-06T00:00:03.0000000Z,2018-05-06T23:59:57.0000000Z
2018-05-07T00:00:00.0000000Z,2018-05-08T00:00:00.0000000Z,9634.5,9175.0,9359.52,9621.99,38953,13616.348593285,2018-05-07T00:00:00.0000000Z,2018-05-07T23:59:53.0000000Z
2018-05-08T00:00:00.0000000Z,2018-05-09T00:00:00.0000000Z,9450.0,9015.0,9167.69,9356.79,36893,11418.31053649,2018-05-08T00:00:03.0000000Z,2018-05-08T23:59:59.0000000Z
2018-05-09T00:00:00.0000000Z,2018-05-10T00:00:00.0000000Z,9199.98,9119.53,9149.73,9181.52,983,250.210030789,2018-05-09T00:00:00.0000000Z,2018-05-09T00:52:58.0000000Z
