time_period_start,time_period_end,price_high,price_low,price_close,price_open,trades_count,volume_traded,time_open,time_close
2017-03-22T00:00:00.0000000Z,2017-03-23T00:00:00.0000000Z,1114.39,988.0,1037.56,1114.39,9852,14521.256356594,2017-03-22T00:00:02.0000000Z,2017-03-22T23:59:51.0000000Z
2017-03-23T00:00:00.0000000Z,2017-03-24T00:00:00.0000000Z,1054.4,1010.69,1029.65,1037.6,5788,5916.995392856,2017-03-23T00:00:13.0000000Z,2017-03-23T23:59:55.0000000Z
2017-03-24T00:00:00.0000000Z,2017-03-25T00:00:00.0000000Z,1032.0,920.0,929.06,1030.84,10519,16072.417083257,2017-03-24T00:00:08.0000000Z,2017-03-24T23:59:57.0000000Z
2017-03-25T00:00:00.0000000Z,2017-03-26T00:00:00.0000000Z,963.36,891.33,956.02,928.1,7839,13507.435420869,2017-03-25T00:00:10.0000000Z,2017-03-25T23:59:52.0000000Z
2017-03-26T00:00:00.0000000Z,2017-03-27T00:00:00.0000000Z,997.0,937.52,960.0,956.02,5328,9012.917651105,2017-03-26T00:00:07.0000000Z,2017-03-26T23:59:19.0000000Z
2017-03-27T00:00:00.0000000Z,2017-03-28T00:00:00.0000000Z,1043.0,952.95,1039.92,959.08,7953,8687.087115237,2017-03-27T00:00:39.0000000Z,2017-03-27T23:59:29.0000000Z
2017-03-28T00:00:00.0000000Z,2017-03-29T00:00:00.0000000Z,1068.26,1014.9,1043.99,1039.09,7993,9115.517124878,2017-03-28T00:00:08.0000000Z,2017-03-28T23:59:26.0000000Z
2017-03-29T00:00:00.0000000Z,2017-03-30T00:00:00.0000000Z,1059.43,1008.16,1035.96,1042.83,7351,9379.719320208,2017-03-29T00:00:07.0000000Z,2017-03-29T23:59:26.0000000Z
2017-03-30T00:00:00.0000000Z,2017-03-31T00:00:00.0000000Z,1050.17,1017.14,1033.7,1037.29,8432,8645.377870801,2017-03-30T00:00:04.0000000Z,2017-03-30T23:59:22.0000000Z
2017-03-31T00:00:00.0000000Z,2017-04-01T00:00:00.0000000Z,1081.0,1031.43,1070.31,1033.79,10819,12058.788094554,2017-03-31T00:01:00.0000000Z,2017-03-31T23:59:55.0000000Z
2017-04-01T00:00:00.0000000Z,2017-04-02T00:00:00.0000000Z,1097.0,1061.64,1083.94,1071.34,6488,5209.128362619,2017-04-01T00:00:31.0000000Z,2017-04-01T23:59:41.0000000Z
2017-04-02T00:00:00.0000000Z,2017-04-03T00:00:00.0000000Z,1100.0,1066.49,1078.01,1083.95,11215,7639.896216705,2017-04-02T00:00:02.0000000Z,2017-04-02T23:59:59.0000000Z
